ethnicity,Article for use in theft,Articles for criminal damage,Controlled drugs,Firearms,Fireworks,Offensive weapons,Stolen goods
White - other,12,0,16,1,0,12,20
White - White British (W1),54,5,134,15,1,35,85
Mixed,7,0,24,2,0,6,10
Chinese or other ethnic group - Chinese (O1),1,,,,,,
Black or Black British,7,3,53,10,0,37,21
Asian or Asian British,14,2,130,13,0,40,19
