To,From,time,Strength,Type,Label
ROGUE ONE,Grand Moff Tarkin,0.135416667,1354.16667,Character,Grand Moff Tarkin
EPISODE IV: A NEW HOPE,Owen Lars,0.135416667,1354.16667,Character,Owen Lars
EPISODE VII: THE FORCE AWAKENS,General Hux,0.135416667,1354.16667,Character,General Hux
EPISODE III: REVENGE OF THE SITH,C-3PO,0.114583333,1145.83333,Character,C-3PO
EPISODE VI: RETURN OF THE JEDI,Admiral Ackbar,0.114583333,1145.83333,Character,Admiral Ackbar
EPISODE I: THE PHANTOM MENACE,Sio Bibble,0.114583333,1145.83333,Character,Sio Bibble
EPISODE VI: RETURN OF THE JEDI,Bib Fortuna,0.114583333,1145.83333,Character,Bib Fortuna
EPISODE II: ATTACK OF THE CLONES,Zam Wesell,0.114583333,1145.83333,Character,Zam Wesell
EPISODE II: ATTACK OF THE CLONES,Taun We,0.104166667,1041.66667,Character,Taun We
EPISODE VI: RETURN OF THE JEDI,Obi-Wan Kenobi,0.09375,937.5,Character,Obi-Wan Kenobi
EPISODE II: ATTACK OF THE CLONES,Jar Jar Binks,0.09375,937.5,Character,Jar Jar Binks
EPISODE I: THE PHANTOM MENACE,Mace Windu,0.09375,937.5,Character,Mace Windu
EPISODE II: ATTACK OF THE CLONES,Boba Fett,0.09375,937.5,Character,Boba Fett
ROGUE ONE,Mon Mothma,0.09375,937.5,Character,Mon Mothma
EPISODE V: THE EMPIRE STRIKES BACK,Admiral Piett,0.09375,937.5,Character,Admiral Piett
ROGUE ONE,General Draven,0.09375,937.5,Character,General Draven
EPISODE I: THE PHANTOM MENACE,Sabe,0.09375,937.5,Character,Sabe
EPISODE V: THE EMPIRE STRIKES BACK,Boba Fett,0.072916667,729.16667,Character,Boba Fett
EPISODE III: REVENGE OF THE SITH,Ki-Adi-Mundi,0.072916667,729.16667,Character,Ki-Adi-Mundi
EPISODE IV: A NEW HOPE,Beru Lars,0.072916667,729.16667,Character,Beru Lars
EPISODE VII: THE FORCE AWAKENS,Captain Phasma,0.072916667,729.16667,Character,Captain Phasma
EPISODE VII: THE FORCE AWAKENS,Lor San Tekka,0.072916667,729.16667,Character,Lor San Tekka
EPISODE I: THE PHANTOM MENACE,Sebulba,0.072916667,729.16667,Character,Sebulba
EPISODE VII: THE FORCE AWAKENS,C-3PO,0.0625,625,Character,C-3PO
EPISODE VII: THE FORCE AWAKENS,R2-D2,0.0625,625,Character,R2-D2
EPISODE II: ATTACK OF THE CLONES,Watto,0.0625,625,Character,Watto
EPISODE II: ATTACK OF THE CLONES,Owen Lars,0.0625,625,Character,Owen Lars
EPISODE IV: A NEW HOPE,General Dodonna,0.0625,625,Character,General Dodonna
EPISODE VI: RETURN OF THE JEDI,Nien Nunb,0.0625,625,Character,Nien Nunb
EPISODE VI: RETURN OF THE JEDI,Moff Jerjerrod,0.0625,625,Character,Moff Jerjerrod
EPISODE II: ATTACK OF THE CLONES,Dorme,0.0625,625,Character,Dorme
EPISODE I: THE PHANTOM MENACE,Chancellor Valorum,0.0625,625,Character,Chancellor Valorum
ROGUE ONE,Lyra Erso,0.0625,625,Character,Lyra Erso
EPISODE V: THE EMPIRE STRIKES BACK,General Rieekan,0.0625,625,Character,General Rieekan
EPISODE V: THE EMPIRE STRIKES BACK,Captain Needa,0.0625,625,Character,Captain Needa
EPISODE II: ATTACK OF THE CLONES,Viceroy Nute Gunray,0.052083333,520.83333,Character,Viceroy Nute Gunray
ROGUE ONE,Senator Bail Organa,0.052083333,520.83333,Character,Senator Bail Organa
EPISODE I: THE PHANTOM MENACE,Ki-Adi-Mundi,0.052083333,520.83333,Character,Ki-Adi-Mundi
EPISODE II: ATTACK OF THE CLONES,Ki-Adi-Mundi,0.052083333,520.83333,Character,Ki-Adi-Mundi
EPISODE II: ATTACK OF THE CLONES,Beru Lars,0.052083333,520.83333,Character,Beru Lars
EPISODE VI: RETURN OF THE JEDI,Wedge Antilles,0.052083333,520.83333,Character,Wedge Antilles
